COMPANY,GROWTH,DATE,VALUATION,FUNDING,LOCATION,MARKET
MyHeritage,11%,2003,600000000,49000000,"Or Yehuda, Israel",Social network
Channel 5,-4%,1997,594000000,#N/A,"London, United Kingdom",Broadcast/streaming/video
Pure Digital Technologies,0%,2001,590000000,68200000,"San Francisco, United States",Technology products
Barstool Sports,29%,2003,586000000,178000000,"New York City, United States",Sports
Sina Weibo,-,2009,586000000,#N/A,"Beijing, China",Social network
Yi+,0%,2014,584000000,146000000,"Beijing, China",Advertising/marketing
Chicken Soup for the Soul Entertainment,79%,2015,573000000,#N/A,"Cos Cob, United States",Broadcast/streaming/video
Asia Vision Network,-,,573000000,#N/A,Indonesia,Broadcast/streaming/video
Gracenote,-2%,1995,560000000,36500000,"Emeryville, United States",Multi-platform
Materialise,5%,1990,556000000,25000000,"Leuven, Belgium",Technology products
Panda TV,0%,2015,550000000,230000000,"Shanghai, China",Broadcast/streaming/video
Descript,47%,2017,550000000,100000000,"San Francisco, United States",Design software
Emerging Markets Communications,-8%,1999,550000000,#N/A,"Miramar Beach, United States",Telecommunications
The Athletic,1%,2016,550000000,139000000,"San Francisco, United States",sports
Group Nine Media,-29%,2016,550000000,190000000,"New York City, United States",Broadcast/streaming/video
Inshorts,28%,2013,550000000,165000000,"Noida, India",news
Endemol Shine UK,-,1983,548000000,#N/A,"London, United Kingdom",Technology products
Purch,-4%,2003,540000000,175000000,"New York City, United States",Advertising/marketing
Mail.ru Group,-14%,1998,537000000,174000000,"Moscow, Russia",Social network
RCS MediaGroup,7%,2003,532000000,#N/A,"Milan, Italy",Multi-platform
Qingdao Citymedia Co.,-,1958,528000000,#N/A,China,Literature
Photobox Group,-,2000,528000000,117000000,"London, United Kingdom",photos
Saber Interactive,3%,2001,525000000,#N/A,"Maplewood, United States",Gaming
Denison Entertainment,-,2005,525000000,75000000,"Los Angeles, United States",Film/TV production
Axios,57%,2017,525000000,30000000,"Arlington, United States",News
CBS MarketWatch,7%,1997,519000000,#N/A,"New York City, United States",Finance
Inpria Corporation,2%,2007,514000000,67900000,"Corvallis, United States",Technology products
Grupo Clarín,-2%,1945,512000000,#N/A,"Capital, Argentina",Technology products
MD Pictures,-,2002,510000000,#N/A,"Jakarta, Indonesia",Technology products
Tremor International,-,2007,506000000,#N/A,"Tel Aviv-Yafo, Israel",Advertising/marketing
TV Asahi,-,1957,500000000,#N/A,Japan,Broadcast/streaming/video
Flip,86%,2019,500000000,88000000,"Inglewood, United States",marketplace
Various,-,1996,500000000,#N/A,"Boca Raton, United States",Social network
Overtime,30%,2016,500000000,217000000,"New York City, United States",sports
VidMob,3%,2015,500000000,205000000,"New York City, United States",Consumer app services
Conductor,25%,2008,500000000,210000000,"New York City, United States",Advertising/marketing
StarzPlay,35%,2015,500000000,125000000,"Dubai, United Arab Emirates",Broadcast/streaming/video
Jobcase,41%,2009,500000000,149000000,"Cambridge, United States",Social network
The Meet Group,6%,1997,500000000,#N/A,"New Hope, United States",Social network
TuneIn,4%,2002,500000000,153000000,"Palo Alto, United States",radio
CNET (CBS),4%,1994,500000000,#N/A,"San Francisco, United States",Multi-platform
Pixellot,20%,2013,500000000,214000000,"Petah Tikva, Israel",sports
SoundCloud,3%,2007,500000000,463000000,"Berlin, Germany",music
Plarium,13%,2009,500000000,#N/A,"Herzliya, Israel",gaming
Tremor Video,6%,2005,494000000,120000000,"New York City, United States",Advertising/marketing
Quixey,0%,2009,490000000,134000000,"Mountain View, United States",Consumer app services
Catena Networks,-,1998,487000000,178000000,"Redwood City, United States",Technology products
Allworld Exhibitions Alliance,-,2003,485000000,#N/A,"London, United Kingdom",Entertainment physical
Digital Generation,-,1991,485000000,#N/A,"Irving, United States",Technology products
Light.co,-25%,2013,484000000,186000000,"Palo Alto, United States",Technology products
ProQuest Business Solutions,-,1938,480000000,#N/A,"Ann Arbor, United States",Literature
Snowball Finance,16%,2010,480000000,293000000,"Wauchula, United States",finance
Nextdoor,18%,2010,480000000,725000000,"San Francisco, United States",marketplace
Stratus Video,-7%,2011,475000000,#N/A,"Clearwater, United States",interpretation and translation
tinyBuild GAMES,83%,2011,474000000,18800000,"Seattle, United States",Gaming
Yupi Internet,-,1996,472000000,67400000,"Miami Beach, United States",interpretation and translation
POLARIS MEDIA ASA,-7%,2008,470000000,#N/A,"Klæbu, Norway",Technology products
Entravision Communications Corporation,-,1998,467000000,2000000,"Santa Monica, United States",Multi-platform
Ambassador Theatre Group,15%,1992,462000000,#N/A,United Kingdom,Technology products
Lbi international,-8%,1993,458000000,#N/A,"Ouder-Amstel, Netherlands",Telecommunications
Storytel,-13%,2005,457000000,101000,"Stockholm, Sweden",Literature
KEDACOM,-1%,1995,457000000,#N/A,"Suzhou Shi, China",video conferencing
CaffeineTV,22%,2016,452000000,259000000,"Redwood City, United States",Social network
Al Khaleej Training and Education,13%,1994,448000000,#N/A,"Riyadh, Saudi Arabia",Technology products
UKTV,0%,1997,447000000,#N/A,"London, United Kingdom",Broadcast/streaming/video
Areeya Property,30%,2000,443000000,#N/A,"Bangkok, Thailand",Technology products
Schurz Communications,-2%,1872,443000000,#N/A,"Mishawaka, United States",news
Business Insider,-,2007,442000000,55600000,"New York City, United States",news
DINETTE,-,,440000000,114000000,"Tokyo, Japan",marketplace
Midu Reader,-,2018,440000000,224000000,"Shanghai, China",Literature
Viu.com,18%,2015,440000000,110000000,"Singapore, Singapore",Broadcast/streaming/video
Studio71,0%,2013,440000000,141000000,"Beverly Hills, United States",Film/TV production
Radish,12%,2015,440000000,66200000,"New York City, United States",Literature
Tubi TV,17%,2014,440000000,55000000,"San Francisco, United States",Technology products
Northern United Publishing & Media Group,17%,2006,432000000,#N/A,"Shenyang, China",Technology products
Technicolor,-,1915,431000000,#N/A,"Issy-les-Moulineaux, France",Technology products
Wurl,50%,2008,430000000,19900000,"Palo Alto, United States",marketplace
Podotree,0%,2010,428000000,116000000,"Seoul, South Korea",education
Nazara Technologies,4%,2000,428000000,77500000,"Mumbai, India",gaming
Quotient Technology,-4%,1998,426000000,284000000,"Mountain View, United States",Advertising/marketing
Fandom,5%,1999,426000000,122000000,"Santa Monica, United States",Technology products
IPmobile,-,1999,425000000,6500000,"Richardson, United States",Telecommunications
Wikia,-14%,2004,424000000,146000000,"San Francisco, United States",marketplace
Video++,-,,420000000,219000000,"Shanghai, China",Broadcast/streaming/video
RetailMeNot,-20%,2009,420000000,150000000,"Austin, United States",Consumer app services
Baijiayun,-,2017,413000000,75600000,China,education
Bustos Media,7%,2004,412000000,103000000,"Portland, United States",radio
OTG Software,-,1979,403000000,#N/A,"Hopkinton, United States",Data analytics
Azuki,-,2021,400000000,30000000,"Santa Monica, United States",Broadcast/streaming/video
Pixel Vault,-,2021,400000000,100000000,United States,NFTs
Neon Music Network,0%,2021,400000000,100000000,"New York City, United States",Music
Pixis,96%,2018,400000000,124000000,United States,Advertising/marketing
REALTIME.CO,-,2014,400000000,100000000,Brazil,Technology products
Mmhmm,4%,2020,400000000,126000000,"San Francisco, United States",video conferencing
XRSPACE,6%,2017,400000000,100000000,"台北市, Taiwan",Entertainment physical
VMate,-,2017,400000000,100000000,"Gurugram, India",Social network
Kuaidian Yuedu,-,2017,400000000,110000000,"Beijing, China",Literature
Harmay,13%,2013,400000000,200000000,"Central and Western District, Hong Kong",marketplace
Theta Labs,-,2017,400000000,100000000,"Cupertino, United States",blockchain
Homa Games,92%,2018,400000000,164000000,"Paris, France",gaming
Proxicoin,-,,400000000,100000000,Hong Kong,NFTs
Yunxi Technology,-,2016,400000000,171000000,China,Technology products
Webshastra,-,2000,400000000,10000000,"Bengaluru, India",Advertising/marketing
Pinewood Studios Group,2%,1999,400000000,#N/A,"Birmingham, United Kingdom",Film/TV production
Memosnag,0%,2015,400000000,50000,"Omaha, United States",Consumer app services
NeXT,-,1985,400000000,#N/A,"Los Angeles, United States",education
Triller,-12%,2015,400000000,450000000,"New York City, United States",Consumer app services
Manticore Games,-15%,2016,400000000,163000000,"San Mateo, United States",gaming
Stream Elements,-7%,2016,400000000,111000000,"Tel Aviv-Yafo, Israel",Broadcast/streaming/video
WSC Sports Technologies,55%,2013,400000000,136000000,"Givatayim, Israel",sports
Minute Media,4%,2011,400000000,181000000,"London, United Kingdom",Sports
refinery29,-15%,2005,400000000,125000000,"New York City, United States",news
JW Player,5%,,400000000,146000000,"New York City, United States",Broadcast/streaming/video
SintecMedia,-12%,2000,400000000,20000000,"Jerusalem, Israel",Technology products
ubitus,14%,2007,400000000,62000000,"台北市, Taiwan",Gaming
Al Abdullatif Industrial Iestment Co.,1%,1981,397000000,#N/A,"Riyadh, Saudi Arabia",Technology products
Dennis Publishing,-9%,1974,396000000,#N/A,"London, United Kingdom",News
PearVideo,-33%,2016,392000000,123000000,"Chaoyang, China",Broadcast/streaming/video
MX Player,7%,2011,390000000,111000000,"Mumbai, India",Broadcast/streaming/video
Podimo,60%,2019,390000000,172000000,"Copenhagen, Denmark",radio
Artistdirect,-6%,1996,390000000,97500000,"Santa Monica, United States",music
Inkitt,45%,2014,390000000,79800000,"Radebeul, Germany",Literature
CIX,-,2021,385000000,#N/A,China,Social network
TEN SPORTS,-3%,2002,385000000,#N/A,"Noida, India",sports
Entertainment One,-8%,1987,385000000,#N/A,"Toronto, Canada",Film/TV production
Helichenguang International Culture Media,0%,,384000000,96000000,"Beijing, China",Film/TV production
Reworld Media,11%,2012,381000000,2200000,"Boulogne-Billancourt, France",Multi-platform
Playboy,0%,1953,381000000,#N/A,"Beverly Hills, United States",news
XGIMI,-,2012,380000000,111000000,"Chengdu, China",Technology products
LICT Corp.,-26%,1996,378000000,#N/A,"Rye, United States",Technology products
Vecima Networks,20%,1988,377000000,#N/A,"Victoria, Canada",Technology products
Redbox,-7%,2002,375000000,50000000,United States,Technology products
NextVenue,-,1998,375000000,30000000,"New York City, United States",Technology products
Vizrt,-4%,1997,374000000,#N/A,"Hordaland, Norway",Sports
Canxing,25%,2010,371000000,53000000,"Shanghai, China",Film/TV production
PixStream,-,1996,369000000,#N/A,"Waterloo, Canada",video conferencing
Securitas Electronic Security,11%,1859,363000000,#N/A,"Uniontown, United States",Technology products
Allaire Corporation,-,1995,360000000,#N/A,United States,Technology products
Leftfield Pictures,-12%,2008,360000000,#N/A,"New York City, United States",Film/TV production
Immediate Media,-3%,2011,356000000,#N/A,"Bristol, United Kingdom",marketplace
Martha Stewart Living Omnimedia,-31%,1996,353000000,#N/A,"New York City, United States",news
Law.com,-,,353000000,50400000,"San Francisco, United States",news
Voltage Pictures,-11%,2005,351000000,#N/A,"Los Angeles, United States",Film/TV production
Big Machine Label Group,4%,2005,350000000,#N/A,"Nashville, United States",Agency/representation
Lifestyle China Group,-,2016,349000000,#N/A,"Wan Chai District, Hong Kong",Technology products
ICTV,-13%,1994,348000000,87000000,"Los Gatos, United States",Technology products
Kidoodle,15%,2012,341000000,36900000,"Calgary, Canada",Broadcast/streaming/video
Encoda Systems,-,2000,340000000,#N/A,"Denver, United States",Technology products
PowerA,28%,2010,340000000,#N/A,"Woodinville, United States",Gaming
Pluto TV,45%,2014,340000000,51800000,"Los Angeles, United States",Broadcast/streaming/video
Local World,-5%,2013,338000000,#N/A,United Kingdom,Broadcast/streaming/video
IDN Media,10%,2014,338000000,#N/A,"Jakarta, Indonesia",Multi-platform
Peribit Networks,-,2000,337000000,30500000,"Santa Clara, United States",Technology products
Hoak Media,0%,2003,335000000,#N/A,"Dallas, United States",Broadcast/streaming/video
Recur,16%,2021,333000000,55000000,"Detroit, United States",NFTs
Zhaobangji Properties Holdings,-,2016,332000000,#N/A,"Central and Western District, Hong Kong",Technology products
Labelium,25%,2001,330000000,#N/A,"Paris, France",Advertising/marketing
Reputation.com,18%,2006,330000000,267000000,"Redwood City, United States",Advertising/marketing
Reputation.com UK,16%,2009,330000000,115000000,"Redwood City, United States",Technology products
Media.Monks,68%,2001,330000000,#N/A,"London, United Kingdom",Advertising/marketing
InMyShow,-,,330000000,104000000,"Hefei, China",Advertising/marketing
Gyldendal Education,8%,1770,327000000,#N/A,"Copenhagen, Denmark",Literature
Bevy,-45%,2016,325000000,61400000,"Palo Alto, United States",video conferencing
Stitcher,-10%,2007,325000000,18700000,"San Francisco, United States",radio
Media Broadcast,-2%,1961,325000000,#N/A,"Cologne, Germany",Broadcast/streaming/video
CityMall,143%,2019,320000000,112000000,"Gurugram, India",marketplace
Atmosphere TV,101%,2019,320000000,134000000,"Austin, United States",Broadcast/streaming/video
Zuiyou,0%,2014,320000000,100000000,"Beijing, China",Social network
Contentstack,55%,2018,320000000,169000000,"San Francisco, United States",Applications and APIs
Culture Trip,-55%,2011,320000000,103000000,"London, United Kingdom",Technology products
VRChat,75%,2014,320000000,95200000,"San Francisco, United States",video conferencing
Moravia,-9%,1991,320000000,#N/A,"Nová Paka, Czech Republic",interpretation and translation
Thinkingdom Media Group Ltd.,13%,2009,318000000,24100000,"Beijing, China",Literature
LOVEFiLM,0%,2002,317000000,#N/A,"London, United Kingdom",Broadcast/streaming/video
Kobo,3%,2009,315000000,#N/A,"Toronto, Canada",Literature
Prysm,4%,2005,314000000,148000000,"San Jose, United States",Technology products
Spanish Broadcasting System,9%,1983,313000000,#N/A,"Miami, United States",Broadcast/streaming/video
Antenna Hungaria,-,1992,307000000,#N/A,"Budapest, Hungary",Multi-platform
Linmon Pictures,10%,2014,304000000,76000000,China,Film/TV production
Origyn,61%,2020,300000000,20000000,"Neuchâtel, Switzerland",Technology products
Pearpop,4%,2020,300000000,34000000,"Los Angeles, United States",marketplace
NetworkAsia Network Services,-,1999,300000000,#N/A,Hong Kong,Technology products
NetCracker Technology,14%,1993,300000000,#N/A,"Waltham, United States",Technology products
Dotdash,-42%,,300000000,#N/A,"New York City, United States",marketplace
Netech Corporation,-,1996,300000000,#N/A,"Caledonia, United States",Technology products
Wondery,40%,2016,300000000,15000000,"West Hollywood, United States",radio
RiverDelta Networks,-,1998,300000000,46000000,"Tewksbury, United States",Telecommunications
Complex Networks,-3%,2000,300000000,34000000,"New York City, United States",Technology products
Songtradr,1%,2014,300000000,101000000,"Santa Monica, United States",Music
Triad Retail  Media,-,2004,300000000,#N/A,"Tampa, United States",marketplace
About.com,-8%,1996,300000000,#N/A,"New York City, United States",Technology products
Prezi,-6%,2009,300000000,72800000,"San Francisco, United States",Design software
Anghami,3%,2012,300000000,54300000,"Jounieh, Lebanon",music
Snapfish,-11%,1999,300000000,43500000,"San Francisco, United States",Social network
Overwolf,39%,2010,300000000,150000000,"Tel Aviv-Yafo, Israel",Gaming
Panopto,10%,2007,300000000,48500000,"Seattle, United States",video conferencing
AB Groupe,-14%,1977,297000000,#N/A,"Saint-Denis, France",Technology products
CyberGuard,-,1994,295000000,#N/A,Malaysia,Technology products
Kumu,35%,2018,295000000,79900000,"Mandaluyong, Philippines",Social network
Wireless Group plc,-1%,1959,290000000,#N/A,"Belfast, United Kingdom",Broadcast/streaming/video
Plateau Systems,0%,1996,290000000,18000000,"Arlington, United States",Agency/representation
State Trading Corporation of India,0%,,289000000,#N/A,India,Technology products
USA Digital Radio,0%,1996,287000000,41000000,"Columbia, United States",radio
Jiemian.com,7%,2014,287000000,131000000,"Beijing, China",news
"HelloNetwork.com, Inc.",-,1996,280000000,#N/A,"Las Vegas, United States",Multi-platform
Halifax Media,-,2010,280000000,#N/A,"Daytona Beach, United States",news
HOOQ,-,2015,280000000,95000000,"Singapore, Singapore",Broadcast/streaming/video
Flipagram,8%,2013,280000000,70000000,"Los Angeles, United States",Social network
Cinesite,2%,1991,280000000,152000000,"London, United Kingdom",Film/TV production
NRJ Group,-,1981,278000000,#N/A,"Paris, France",Technology products
EVS Broadcast Equipment,14%,1994,277000000,#N/A,"Liège, Belgium",Technology products
Hathway,14%,1959,275000000,#N/A,"Mumbai, India",Technology products
RLJ Entertainment,-,2004,274000000,#N/A,"Bethesda, United States",Film/TV production
Eyeworks,-,2001,273000000,#N/A,"Amsterdam, Netherlands",Film/TV production
Chikaranomoto,-,1986,272000000,#N/A,"Fukuoka, Japan",Technology products
Delta Education,-,1973,270000000,#N/A,"Nashua, United States",education
Golden Village,16%,1992,268000000,#N/A,"Singapore, Singapore",Entertainment physical
Baja Broadband,0%,,268000000,#N/A,"Fort Mill, United States",Technology products
Altice Media Group France,-,1955,265000000,#N/A,"Paris, France",Broadcast/streaming/video
Kosmos Tennis,-12%,2018,264000000,66000000,"Barcelona, Spain",Entertainment physical
Inspired Gaming Group,6%,2006,264000000,#N/A,"London, United Kingdom",Gaming
Video Networks,-,1998,264000000,66000000,"Roswell, United States",Technology products
Vaddio,3%,2003,263000000,37600000,"Minnetonka, United States",Technology products
SRS Holdings,-,1951,262000000,#N/A,"Osaka, Japan",Technology products
South China Morning Post,-,1903,262000000,#N/A,"Wan Chai District, Hong Kong",news
BendBroadband,-3%,1955,261000000,#N/A,"Bend, United States",Technology products
SBS Broadcasting,11%,1995,261000000,#N/A,"Amsterdam, Netherlands",Broadcast/streaming/video
Xiangwushuo (Happy Sharing),0%,2017,260000000,74000000,"Shanghai, China",marketplace
Keshet International,-6%,2012,260000000,65000000,"תל אביב יפו, Israel",Film/TV production
MoviePass,43%,2011,260000000,68700000,"New York City, United States",marketplace
Buongiorno,2%,1999,260000000,#N/A,"London, United Kingdom",Consumer app services
Jagran Prakashan,-,1942,259000000,#N/A,"Kanpur, India",Technology products
Agora SA,4%,1989,258000000,#N/A,"Warsaw, Poland",Technology products
CTC Media,-2%,1989,257000000,#N/A,"Moscow, Russia",Broadcast/streaming/video
Otro,35%,2018,256000000,64000000,"London, United Kingdom",Sports
Treofan Group,-,1969,255000000,#N/A,"Raunheim, Germany",Technology products
Zoosk,0%,2007,255000000,61600000,"San Francisco, United States",Social network
Social Point,1%,2008,253000000,44700000,"Barcelona, Spain",Gaming
Salem Media Group,9%,1986,252000000,#N/A,"Camarillo, United States",Multi-platform
StreamYard,-,2018,250000000,#N/A,"Tualatin, United States",Broadcast/streaming/video
Brut,10%,2016,250000000,126000000,"Paris, France",Technology products
NeuLion,-,2004,250000000,#N/A,"Plaistow, United States",Broadcast/streaming/video
Xavient Information Systems,-15%,2002,250000000,#N/A,"Simi Valley, United States",Technology products
Momox,23%,2004,250000000,#N/A,"Berlin, Germany",marketplace
Yik Yak,107%,2013,248000000,73500000,"Atlanta, United States",Social network
Orange Sky Golden Harvest Entertainment,-,1970,246000000,#N/A,Hong Kong,Film/TV production
Techfront,11%,1996,245000000,45000000,"Chennai, India",Technology products
Kaltura,14%,2006,244000000,170000000,"New York City, United States",marketplace
Hotland,0%,1991,244000000,#N/A,"Tokyo, Japan",Technology products
Federation Entertainment,28%,2014,243000000,83800000,"Paris, France",Film/TV production
Unipol Banca,-8%,1987,242000000,#N/A,"Bologna, Italy",Technology products
RR Media,1%,1981,242000000,#N/A,Israel,Technology products
Xiaoyu Link,-,2015,240000000,60000000,"Beijing, China",video conferencing
Leia,5%,2014,240000000,155000000,"Menlo Park, United States",Technology products
Fuze Game,-,2014,240000000,60000000,"Beijing, China",Gaming
Luminary,-10%,2018,240000000,100000000,"New York City, United States",radio
Workman Publishing,-2%,1968,240000000,#N/A,"New York City, United States",printing
EYak (Sonexis),-,1999,240000000,70000000,"Boston, United States",Telecommunications
Bonten Media Group,-6%,2006,240000000,#N/A,"New York City, United States",Broadcast/streaming/video
Atom Tickets,-19%,2014,240000000,110000000,"Santa Monica, United States",marketplace
Lytro,14%,2006,240000000,216000000,"Mountain View, United States",Technology products
Lexar Media,6%,1996,240000000,60000000,"Milpitas, United States",Technology products
Baiyaxuan,0%,2003,240000000,60000000,"Wauchula, United States",Agency/representation
Mobli,-6%,2011,240000000,86000000,"Tel Aviv-Yafo, Israel",Social network
Dailymotion,3%,2005,239000000,68500000,"Valbonne, France",Broadcast/streaming/video
Welocalize,17%,1997,238000000,34000000,"Frederick, United States",interpretation and translation
Scribd,3%,2007,232000000,106000000,"San Francisco, United States",Literature
Scitex,-,1960,230000000,#N/A,"Herzliya, Israel",photos
Vessel,4%,2013,230000000,133000000,"San Francisco, United States",Broadcast/streaming/video
Phase One,-1%,1993,230000000,50000000,"Town of Huntington, United States",photos
Starman,-6%,,229000000,#N/A,"Tallinn, Estonia",Broadcast/streaming/video
Outbrain,21%,2006,229000000,439000000,"New York City, United States",Advertising/marketing
Pex,1%,2014,228000000,57000000,"Los Angeles, United States",search engine
Walla!,0%,1995,228000000,#N/A,"Tel Aviv-Yafo, Israel",search engine
Yad2,15%,2005,228000000,#N/A,Israel,Technology products
Xilam,27%,1995,227000000,#N/A,"Paris, France",Broadcast/streaming/video
Teamflow,26%,2020,225000000,49900000,"San Francisco, United States",video conferencing
Alliance Films,-,2007,225000000,#N/A,"Toronto, Canada",Film/TV production
Vubiquity,-4%,2006,224000000,100000000,"Reston, United States",Technology products
RigNet,-4%,2001,222000000,12300000,"Houston, United States",Data analytics
Medius Holdings,0%,2009,222000000,#N/A,"Tokyo, Japan",Technology products
Blue Interactive Group,0%,2009,220000000,55000000,"São Paulo, Brazil",Broadcast/streaming/video
ThePaper.cn,17%,2014,220000000,139000000,"Shanghai, China",news
Aspyr Media,16%,1996,219000000,#N/A,"Austin, United States",Gaming
Gearbox Software,13%,1999,219000000,16000,"Plano, United States",Gaming
Vitalstream,-,1986,217000000,1100000,"Irvine, United States",Broadcast/streaming/video
EdgeCast Networks,-,2006,216000000,88000000,"Santa Monica, United States",Broadcast/streaming/video
Thrillist Media Group,-15%,2005,216000000,54000000,"New York City, United States",Technology products
Welcome to the Jungle,16%,2014,216000000,86200000,"Paris, France",Multi-platform
Vista Group International,-,1996,212000000,#N/A,"Auckland, New Zealand",Entertainment physical
The Welsh Rugby Union,-,1881,211000000,52800000,"Cardiff, United Kingdom",Agency/representation
Shelf.io,17%,2015,210000000,54700000,"New York City, United States",video conferencing
Pond5,2%,2006,210000000,61500000,"New York City, United States",marketplace
Dongqiudi,-46%,2013,210000000,66400000,"Beijing, China",Sports
Bang & Olufsen,5%,1925,210000000,#N/A,"Berlin, Germany",Technology products
MeteoGroup,-13%,1986,209000000,#N/A,"London, United Kingdom",Technology products
Houseparty,-30%,2011,208000000,73200000,"San Francisco, United States",Social network
Zoomin.com,0%,2007,208000000,30900000,"San Francisco, United States",photos
YEVVO,-16%,2012,208000000,4200000,"Tel Aviv-Yafo, Israel",Social network
Time Out Group,-8%,1968,207000000,#N/A,"London, United Kingdom",Technology products
Mars Finance,-,2018,204000000,51000000,"Beijing, China",news
Layer3 TV,-21%,2013,204000000,72000000,"Boston, United States",Broadcast/streaming/video
Nova Broadcasting Group,-,1994,204000000,#N/A,"Sofia, Bulgaria",Broadcast/streaming/video
Usak Seramik,10%,1972,203000000,#N/A,"Usak, Türkiye",Technology products
DiDi Mobility Japan,5%,2018,200000000,50100000,"Tokyo, Japan",Technology products
PROOF,-,2021,200000000,60000000,"Los Angeles, United States",NFTs
Content Engineers,-,2022,200000000,50000000,"Mumbai, India",Technology products
VeeFriends,-,2021,200000000,50000000,"New York City, United States",NFTs
Push Party,-,2020,200000000,#N/A,"San Francisco, United States",Social network
Zego,-,2016,200000000,#N/A,"Shenzhen, China",Technology products
Dispo,-46%,2019,200000000,24000000,"Los Angeles, United States",Social network
Roam Research,0%,2017,200000000,10600000,"San Francisco, United States",Design software
Elementor,-5%,2015,200000000,65000000,"Ramat Gan, Israel",Consumer app services
Whip Media Group,23%,2014,200000000,50000000,"Santa Monica, United States",marketplace
NTWRK,13%,2018,200000000,60000000,"Los Angeles, United States",marketplace
MeatEater,46%,2018,200000000,50000000,"Bozeman, United States",Technology products
Gimlet Media,-22%,2014,200000000,#N/A,"New York City, United States",radio
Yitiao,-2%,2014,200000000,105000000,"Shanghai, China",Technology products
First Look Media,-3%,2012,200000000,50000000,"New York City, United States",news
HealthCentral,0%,2006,200000000,50000000,"Arlington, United States",marketplace
EDO,52%,2014,200000000,92000000,"Culver City, United States",Advertising/marketing
Atoga Systems,-,1999,200000000,64500000,"Fremont, United States",Technology products
VeloCom,500%,1998,200000000,300000000,"Greenwood Village, United States",Telecommunications
Kumo,-21%,2010,200000000,50000000,"Sunnyvale, United States",Broadcast/streaming/video
NewsDog,6%,2015,200000000,50000000,"Beijing, China",news
Live.me - social video chat,12%,2016,200000000,110000000,"West Hollywood, United States",Social network
SNOW - Selfie Motion sticker,-,,200000000,50000000,"Seongnam-si, South Korea",Technology products
Medium,12%,2012,200000000,132000000,"San Francisco, United States",news
iflix,-26%,2014,200000000,438000000,"Kuala Lumpur, Malaysia",Broadcast/streaming/video
MobiTV,-10%,1999,200000000,214000000,"Emeryville, United States",Broadcast/streaming/video
Leap Motion,-27%,2010,200000000,94000000,"San Francisco, United States",VR/AR/AI
NextIssue,-,2009,200000000,50000000,"Palo Alto, United States",news
Baike.com,0%,2005,200000000,66000000,"Beijing, China",search engine
Freepik,2%,2010,200000000,#N/A,"Málaga, Spain",Design software
YUPPTV,11%,2008,200000000,57500000,"Alpharetta, United States",Broadcast/streaming/video
MUBI,36%,2007,200000000,82100000,"New York City, United States",Broadcast/streaming/video
Magisto,-,2009,200000000,28700000,"Mountain View, United States",Social network
LiveU,6%,2006,200000000,50000000,Israel,Film/TV production
WIRmachenDRUCK,20%,2008,198000000,#N/A,"Backnang, Germany",printing
InterVideo,-,1998,196000000,#N/A,"Fremont, United States",Broadcast/streaming/video
WiWide,-11%,2007,196000000,50400000,"Shanghai, China",Technology products
Creative Fabrica,103%,2016,195000000,56300000,"Amsterdam, Netherlands",marketplace
Casino Magic Bay St. Louis,-,2000,195000000,#N/A,United States,Entertainment physical
RP DATA,4%,1991,194000000,#N/A,"Eagle Farm, Australia",Data analytics
MovieBeam,-6%,2002,194000000,48500000,"Burbank, United States",Broadcast/streaming/video
Pratilipi,66%,2015,192000000,77900000,"Bengaluru, India",Literature
Penthouse Media Group,-6%,1965,192000000,48000000,"Pasadena, United States",Multi-platform
Corporate Finance Institute,99%,2016,192000000,48000000,"Burnaby, Canada",finance
"Sees-the-Day, Inc.",-,2010,192000000,48000000,"Warminster Township, United States",Technology products
Avazu Inc,0%,2009,192000000,48000000,"Shanghai, China",Advertising/marketing
CARTA HOLDINGS,-,1999,192000000,#N/A,"Tokyo, Japan",Technology products
Unwired Technology,-8%,1997,191000000,#N/A,"Woodbury, United States",Technology products
Synthesia,96%,2017,191000000,63200000,"London, United Kingdom",VR/AR/AI
CUES,1%,1964,189000000,#N/A,"Orlando , United States",Technology products
E-media,-,1995,189000000,27000000,"Stamford, United States",Technology products
FloSports,26%,2006,188000000,76200000,"Austin, United States",Sports
Deepgram,15%,2015,188000000,85900000,"San Francisco, United States",VR/AR/AI
Bushel,2%,2002,188000000,73500000,"Minneapolis, United States",Consumer app services
VideoVerse (Formerly Toch.ai ),36%,2016,187000000,59100000,"Mumbai, India",marketplace
Sciuker Frames,31%,1996,186000000,#N/A,"Avellino, Italy",Technology products
V-cube Japan,-50%,2009,183000000,#N/A,"Tokyo, Japan",Telecommunications
Guomai,7%,2012,183000000,45700000,"Wauchula, United States",education
Slide,-3%,2005,182000000,78000000,"San Francisco, United States",Gaming
BNN Technology,25%,2007,182000000,#N/A,"Knutsford, United Kingdom",Technology products
Agency.com,-,1995,181000000,#N/A,"New York City, United States",Advertising/marketing
Broadbus Technologies,0%,1999,181000000,57000000,"Libertyville, United States",Technology products
Vidio,42%,2014,180000000,195000000,"Yogyakarta, Indonesia",Broadcast/streaming/video
SkyFlow,58%,,180000000,70500000,"Palo Alto, United States",interpretation and translation
BuyMedia.com,-,2000,180000000,45000000,United States,marketplace
Medal,-10%,2015,180000000,57400000,"Naarden, Netherlands",gaming
Joost,-,2006,180000000,45000000,"New York City, United States",Broadcast/streaming/video
Amino,1%,2014,180000000,72400000,"New York City, United States",marketplace
